wav,frame_idx,time_s,token,label,prob,pred,prob_calib,pred_calib
./chunk_4Tanya/chunk_4.wav,16,0.432,ग,1,0.6342008113861084,0,0.6288682408410567,1
./chunk_4Tanya/chunk_4.wav,17,0.459,ग,0,0.1008786931633949,0,0.08748037028584416,0
./chunk_4Tanya/chunk_4.wav,18,0.486,अ,0,0.1172578558325767,0,0.10269186955690324,0
./chunk_4Tanya/chunk_4.wav,19,0.513,अ,0,0.4562352001667022,0,0.4417533927849614,0
./chunk_4Tanya/chunk_4.wav,20,0.54,अ,0,0.6162044405937195,0,0.6098738688378531,1
./chunk_4Tanya/chunk_4.wav,21,0.567,अ,0,0.5952008962631226,0,0.5877093506735009,1
./chunk_4Tanya/chunk_4.wav,22,0.594,ज,1,0.8537658452987671,1,0.8582860319344715,1
./chunk_4Tanya/chunk_4.wav,23,0.621,ज,0,0.1399078667163849,0,0.12399618558594774,0
./chunk_4Tanya/chunk_4.wav,24,0.648,इ,0,0.072745107114315,0,0.06179632160602567,0
./chunk_4Tanya/chunk_4.wav,25,0.675,इ,0,0.5634863376617432,0,0.5542677385683291,1
./chunk_4Tanya/chunk_4.wav,26,0.702,न,1,0.8136640787124634,1,0.8170397853819193,1
./chunk_4Tanya/chunk_4.wav,27,0.729,न,0,0.8372873067855835,1,0.8413974186421815,1
./chunk_4Tanya/chunk_4.wav,28,0.756,द,0,0.5265478491783142,0,0.5153907216548176,1
./chunk_4Tanya/chunk_4.wav,29,0.783,द,0,0.4135844707489013,0,0.39741892083757807,0
./chunk_4Tanya/chunk_4.wav,30,0.8099999999999999,र,0,0.4763399660587311,0,0.46274772187554203,0
./chunk_4Tanya/chunk_4.wav,31,0.837,र,0,0.6756888628005981,0,0.6726360448512375,1
./chunk_4Tanya/chunk_4.wav,32,0.864,क,0,0.6643940806388855,0,0.6607263125926299,1
./chunk_4Tanya/chunk_4.wav,33,0.891,क,0,0.2721993029117584,0,0.25318595806543676,0
./chunk_4Tanya/chunk_4.wav,34,0.918,ए,0,0.0561719462275505,0,0.04697871193100799,0
./chunk_4Tanya/chunk_4.wav,35,0.945,ए,0,0.0779808312654495,0,0.06652911794411816,0
./chunk_4Tanya/chunk_4.wav,36,0.972,ए,0,0.8339114785194397,1,0.8379266295386788,1
./chunk_4Tanya/chunk_4.wav,37,0.999,ए,0,0.8803259134292603,1,0.8852933193211955,1
./chunk_4Tanya/chunk_4.wav,38,1.026,च,1,0.8476439118385315,1,0.852022517147348,1
./chunk_4Tanya/chunk_4.wav,39,1.053,च,0,0.4659241437911987,0,0.45186409235397845,0
./chunk_4Tanya/chunk_4.wav,40,1.08,च,0,0.4732590913772583,0,0.4595269729700672,0
./chunk_4Tanya/chunk_4.wav,41,1.107,ए,0,0.0943446978926658,0,0.08146235721225706,0
./chunk_4Tanya/chunk_4.wav,42,1.134,ए,0,0.1373186856508255,0,0.12154612454345248,0
./chunk_4Tanya/chunk_4.wav,43,1.161,ह,1,0.8182121515274048,1,0.821741384532877,1
./chunk_4Tanya/chunk_4.wav,44,1.188,ह,0,0.400785893201828,0,0.38417641208893666,0
./chunk_4Tanya/chunk_4.wav,45,1.215,र,0,0.6412676572799683,0,0.6363264978213039,1
./chunk_4Tanya/chunk_4.wav,46,1.242,र,0,0.3819145858287811,0,0.36470839327270455,0
./chunk_4Tanya/chunk_4.wav,47,1.269,ए,0,0.373790293931961,0,0.35634968762757624,0
./chunk_4Tanya/chunk_4.wav,48,1.296,ए,0,0.4059054553508758,0,0.38946987869108607,0
./chunk_4Tanya/chunk_4.wav,49,1.323,ए,0,0.5784163475036621,0,0.5700054612142249,1
./chunk_4Tanya/chunk_4.wav,50,1.35,क,1,0.8474018573760986,1,0.8517745956690929,1
