wav,start,correct_label
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.0,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.027,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.054,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.081,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.108,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.135,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.162,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.189,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.216,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.243,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.27,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.297,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.324,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.351,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.378,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.405,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.432,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.459,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.486,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.513,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.54,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.567,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.594,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.621,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.648,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.675,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.702,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.729,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.756,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.783,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.81,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.837,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.864,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.891,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.918,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.945,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.972,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.999,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.026,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.053,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.08,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.107,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.134,0
